sensitive,feature,metric,association,p_value,p_adj,significant_fdr_5pct,proxy_flag
Age_Group,Gender,cramers_v,0.05486195792764337,4.726345061818918e-31,1.3233766173092977e-29,True,False
Age_Group,skill__rare_,cramers_v,0.053355181927176865,8.040226518738063e-16,1.0390446578061496e-14,True,False
Age_Group,Race,cramers_v,0.04045246469690027,3.803765508956369e-29,7.987907568808375e-28,True,False
Age_Group,Education,cramers_v,0.027505296477722298,1.3178136842446065e-08,1.5813764210935278e-07,True,False
Age_Group,skill_scrum,cramers_v,0.026578142227173255,0.0007604993606831382,0.00456299616409883,True,False
Age_Group,skill__machine_learning,cramers_v,0.0242183228893691,0.0032469736037957723,0.016043869571696758,True,False
Age_Group,skill_leadership,cramers_v,0.02182574656944128,0.01197114697782323,0.043655843708112,True,False
Age_Group,skill_aws,cramers_v,0.02174501686142043,0.012473098202317713,0.043655843708112,True,False
Age_Group,skill__agile,cramers_v,0.021343876813645517,0.015253416582768709,0.051251479718102864,False,False
Age_Group,skill__statistics,cramers_v,0.02113697147947274,0.0168900940136816,0.05456799604420209,False,False
Age_Group,skill_conflict_resolution,cramers_v,0.020484469009540197,0.023099492526284765,0.07055844989846982,False,False
Age_Group,skill__recruitment,cramers_v,0.019422568519890583,0.03741817016159885,0.10305332110079685,False,False
Age_Group,skill__python,cramers_v,0.019278858033841606,0.03983876723613192,0.1062367126296851,False,False
Age_Group,skill__presentation,cramers_v,0.018891237235134268,0.047031807762235915,0.11971732884932779,False,False
Age_Group,skill__leadership,cramers_v,0.01851890670786582,0.05492725561427925,0.13570263151763107,False,False
Age_Group,skill__hr_policies,cramers_v,0.018369178466288813,0.05839556485278031,0.1381754210600999,False,False
Age_Group,skill_networking,cramers_v,0.01827120323829419,0.060760556779831894,0.14101023781017932,False,False
Age_Group,skill_java,cramers_v,0.018232545040262147,0.06171494509897504,0.14101023781017932,False,False
Age_Group,skill_sql,cramers_v,0.018202674774986275,0.06246070659728691,0.14101023781017932,False,False
Age_Group,Experience_Years,point_biserial_o-v-r,0.01809624766578638,0.002943066932881407,0.01498288620375989,True,False
Age_Group,Job_Role_Applied,cramers_v,0.0179935961436538,0.004015688209549638,0.01823339511363079,True,False
Age_Group,skill__sql,cramers_v,0.017661576446524788,0.07728258331725996,0.1615835409897476,False,False
Age_Group,skill_statistics,cramers_v,0.0173399430921831,0.0873435095101472,0.1746870190202944,False,False
Age_Group,Certifications,cramers_v,0.01725388755083054,0.00955606012085279,0.03822424048341116,True,False
Age_Group,skill_agile,cramers_v,0.01715510966640656,0.0935749270097296,0.18279753183296016,False,False
Gender,skill__rare_,cramers_v,0.0746129578125616,2.292278213365002e-33,9.62756849613301e-32,True,False
Gender,Education,cramers_v,0.07120668842282225,3.3338906370168807e-56,5.60093627018836e-54,True,False
Gender,Job_Role_Applied,cramers_v,0.057567086355610184,1.7068011808879893e-34,9.55808661297274e-33,True,False
Gender,Age_Group,cramers_v,0.05486195792764337,4.72634506181892e-31,1.3233766173092977e-29,True,False
Gender,Race,cramers_v,0.05092686861086487,2.3150691247106097e-26,3.8893161295138246e-25,True,False
Gender,Experience_Years,point_biserial_o-v-r,0.03342563570289943,3.936588628597494e-08,3.8902758212022293e-07,True,False
Gender,Certifications,cramers_v,0.030545344101811634,3.449439867722756e-08,3.6219118611088943e-07,True,False
Gender,skill__sql,cramers_v,0.027428247188100333,3.883580057767804e-05,0.0003262207248524956,True,False
Gender,skill__python,cramers_v,0.025346550753633214,0.00017113752687998593,0.0013691002150398874,True,False
Gender,skill_c++,cramers_v,0.02345604462721571,0.0005946655573255434,0.003700141245581159,True,False
Gender,skill_git,cramers_v,0.02134454043622572,0.0021325070196552697,0.011556812235551139,True,False
